R|0abbr|RSC|RSC-1|NNXX@|NNNXX-----@----|N|B|t|(referree_stopped_contest)
R|hd1|atest|atest|0|0|N|0|0|0
R|hd1|protest|protest|0|0|N|0|0|0
R|hd1|testament|testament|0|0|N|0|0|0
R|hd1|test|test|0|0|N|0|0|0
R|hd2|testosteron|testosteron|0|0|N|0|0|0
R|hdus|protestantism|protestantismus|0|0|N|0|0|0
R|hdus|protestantizm|protestantismus|0|0|N|0|0|0
R|iavg|protestujíc|protestující|0|0|A|0|0|(*5ovat)
R|i|protestn|protestní|0|0|A|0|0|0
R|i|testovac|testovací|0|0|A|0|0|(*2t)
R|ns1|atestac|atestace|0|0|N|0|0|0
R|ovatd|otest|otestovat|0|0|W|0|0|0
R|ovatn|protest|protestovat|0|0|T|0|0|0
R|ovatn|test|testovat|0|0|T|0|0|0
R|pn2|protestant|protestant|0|0|N|0|0|0
R|pn5j|protestant|protestant|0|0|N|0|0|0
R|poml|protestantsko|protestantský|0|0|H|0|0|0
R|sky|protestant|protestantský|0|0|A|0|0|0
R|stn|testování|testování|0|0|N|0|0|(*3at)
R|y|testovan|testovaný|0|0|A|0|0|(*2t)
R|0|díle|díl|NIS6@-1|NNIS6-----@---1|N|0|0|(jeden_díl_[z_celku])
R|0|jedenatřicíti|jedenatřicet`31|CBP2-1|Cn-P2---------1|C|0|0|0
R|0|jedenatřicíti|jedenatřicet`31|CBP3-1|Cn-P3---------1|C|0|0|0
R|0|jedenatřicíti|jedenatřicet`31|CBP6-1|Cn-P6---------1|C|0|0|0
R|0|jedenatřicíti|jedenatřicet`31|CBP7-1|Cn-P7---------1|C|0|0|0
R|0|jedenačtyřicíti|jedenačtyřicet`41|CBP2-1|Cn-P2---------1|C|0|0|0
R|0|jedenačtyřicíti|jedenačtyřicet`41|CBP3-1|Cn-P3---------1|C|0|0|0
R|0|jedenačtyřicíti|jedenačtyřicet`41|CBP6-1|Cn-P6---------1|C|0|0|0
